Survived,Age,Pclass:1,Pclass:2,Pclass:3,Sex:female,Sex:male,Embarked:C,Embarked:Q,Embarked:S,SibSp:0,SibSp:1,SibSp:2,SibSp:3,SibSp:gte4,Parch:0,Parch:1,Parch:2,Parch:gte3,LogFare
0,-0.35795563993005186,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.8281732761770142
0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.7992195737108371
0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
1,-2.221724500769847,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0.45690919416588743
1,0.027598530702921863,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.37012422006402235
0,-0.5892881423098361,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.6783145003028839
1,-0.049512303423672875,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.6278983971940165
1,0.0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,-0.8118767713637023
0,-0.1266231375502676,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.9447262804306904
1,-0.9748423129428098,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.533894971952614
1,0.2589310330827061,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,-0.1391610272367666
0,-1.0519531470694046,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0.6272094169050633
0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
1,-0.5121773081832414,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2.7041348162355505
0,-0.43506647405664656,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,-0.049512303423672875,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,-0.7435098105630256,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.8040631122385047
0,1.2613718767284376,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1.209950683181608
0,-0.2808448058034571,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0.11626101310629754
0,2.2638127203741694,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.8770972127627564
0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,3.1891427298933066,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.6353330016942809
1,-0.5121773081832414,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1.245613749096087
1,0.33604186720930085,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0.22632935327688183
0,0.33604186720930085,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.34803752481544026
0,-0.1266231375502676,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.7992195737108371
0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.7992195737108371
0,-0.6663989764364308,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1.4480649180557104
0,0.2589310330827061,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.714679319023204
0,0.567374369589085,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,-0.79583329239644
0,-0.1266231375502676,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.7992195737108371
1,-0.6663989764364308,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.8281732761770142
1,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.813347697075003
0,0.6444852037156797,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.7992195737108371
1,0.0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0.274693171425726
0,1.3384827108550323,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1.0449688796963805
0,-1.1676193982592966,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,-0.2285124924905013
0,-0.5892881423098361,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,-0.7435098105630256,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-0.5963995297390138
0,-0.9748423129428098,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,-0.22823838764039717
0,-0.6663989764364308,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.79583329239644
0,3.1505873128300093,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,-0.8162958449741207
0,-0.049512303423672875,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.13641831016745684
0,-0.43506647405664656,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2.641698667240758
0,-2.131504824841731,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.5324406686745476
0,-0.6663989764364308,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1.3968235412525474
0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,0.22037561601940872,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0.49314903278179406
1,0.22037561601940872,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.33062928006346515
0,1.8782585497411957,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1.4480649180557104
1,-1.3603964835757834,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,-0.46931099253042485
0,0.0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,-0.8162958449741207
1,-0.43506647405664656,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.8907517746234335
1,0.0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.19832474474807563
0,1.184261042601843,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.9121285383163317
0,0.2589310330827061,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,-0.7992195737108371
0,-0.7435098105630256,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.902456157512856
0,1.3384827108550323,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-0.22545466344999224
1,-0.049512303423672875,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0.34803752481544026
0,-0.35795563993005186,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.33062928006346515
0,-0.5121773081832414,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,-0.18969426760861385
1,-0.8206206446896203,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.3588232975801214
0,0.567374369589085,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1.0661957260498083
0,-1.0519531470694046,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.6561615145358887
0,-0.43506647405664656,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1.47300480617113
0,0.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,-0.17689417903005084
1,-0.5892881423098361,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.8162958449741207
1,-0.43506647405664656,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-0.1391610272367666
0,-0.8206206446896203,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,-0.9417010692496538
0,-0.8977314788162151,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.44773465941387824
0,-0.8206206446896203,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0.6943550080746259
1,-0.20373397167686236,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.8109012321554833
0,-1.5917289859555677,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.6272094169050633
0,0.5288189525257877,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0.34803752481544026
0,0.9529285402220588,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.33062928006346515
0,1.6469260473614113,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.36629708554951435
1,-0.5892881423098361,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1.2963934907141978
0,1.9939248009310877,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,0.8372622890321666,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,-0.22545466344999224
0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.869298495460311
0,1.6469260473614113,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1.213338849653143
1,-1.0519531470694046,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,-0.8182699042247106
0,0.027598530702921863,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.7137913206414161
0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1.3405306257400547
0,1.1071502084752483,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,-0.12394241433985984
1,0.7987068719688692,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.14531179026463956
0,-0.2808448058034571,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.813347697075003
0,-0.9748423129428098,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.7137913206414161
0,-2.2086156589683257,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0.7717876863475427
1,-1.5917289859555677,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0.11386350591080552
1,0.0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1.1018635315358583
0,1.184261042601843,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0.4183085208915914
0,0.0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.34516318321882195
0,-0.1266231375502676,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1.1291022001167732
0,2.4180343886273588,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.6013287225161577
0,-1.9772831565885414,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0.46120577057532036
1,-2.2086156589683257,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,-0.4785018178329184
0,-0.6663989764364308,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.79583329239644
0,2.0324802179943853,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.513728435121659
0,-0.8977314788162151,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,-0.8040631122385047
0,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0.32742317710763974
0,1.5698152132348167,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0.4469587391444187
0,0.027598530702921863,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.33062928006346515
0,0.4902635354624903,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-3.057633558590874
0,0.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1.3405306257400547
0,0.0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,-0.18942382938285737
0,-1.5917289859555677,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0.5360362362843256
1,-2.2086156589683257,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0.7541783112964388
1,-1.9772831565885414,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.18347400336288514
0,0.0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1.005220704763125
1,0.0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.16085080696309492
1,1.184261042601843,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.36887521812612184
0,0.7987068719688692,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,-0.16085080696309492
0,0.4902635354624903,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.7992195737108371
1,0.18182019895611135,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.33062928006346515
0,-0.8206206446896203,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.33062928006346515
1,-0.8206206446896203,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-0.8040631122385047
1,-2.0543939907151363,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0.34803752481544026
1,1.1071502084752483,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0.41188124248951113
1,2.1867018862475747,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,2.102760334890701
0,0.0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,-0.8162958449741207
0,0.9529285402220588,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,-0.7417903150191323
1,0.0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,-0.8162958449741207
0,-0.43506647405664656,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.33062928006346515
0,-0.1266231375502676,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.6278983971940165
0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1.3405306257400547
0,0.33604186720930085,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.9761624415964449
0,1.2228164596651403,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,-0.8802332550414627
1,-0.8977314788162151,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,-2.131504824841731,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,-0.5372700162302351
0,0.18182019895611135,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,-0.1391610272367666
1,-0.2808448058034571,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.026894083082849008
1,-1.0519531470694046,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,-0.8162958449741207
1,0.7987068719688692,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.5235984704074331
0,-0.43506647405664656,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.902456157512856
1,0.41315270133589554,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0.13641831016745684
0,-0.5892881423098361,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.8770972127627564
0,0.027598530702921863,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.33062928006346515
0,0.0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,-0.8162958449741207
1,0.10470936482951661,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1.8388890238834192
1,-0.20373397167686236,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.79583329239644
0,0.9529285402220588,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.38561712573619633
1,0.18182019895611135,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1.4348369386834778
0,0.027598530702921863,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.533894971952614
1,-1.0519531470694046,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,-0.20373397167686236,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.33062928006346515
0,1.6469260473614113,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.781461362003806
0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.7992195737108371
1,0.6444852037156797,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1.6035509621337427
0,-0.5892881423098361,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.6427666413030613
1,-0.8206206446896203,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.533894971952614
0,-0.7049543934997282,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.8770972127627564
0,-0.8977314788162151,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.33062928006346515
0,0.0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0.32742317710763974
1,0.41315270133589554,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1.5266675688734386
0,-0.049512303423672875,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.813347697075003
0,2.2638127203741694,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.2943685371873493
1,-1.9001723224619467,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.5360362362843256
0,-0.43506647405664656,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.533894971952614
0,0.0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.8401888201395213
0,1.1071502084752483,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.34803752481544026
1,-1.6688398200821624,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.35756132622088505
0,-0.8206206446896203,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.533894971952614
0,0.2589310330827061,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.3855760988328648
0,0.0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,-0.2285124924905013
1,0.0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.16085080696309492
0,-0.049512303423672875,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.533894971952614
0,-0.5892881423098361,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.8928734755046605
0,0.027598530702921863,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,-0.8802332550414627
0,1.1071502084752483,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1.6035509621337427
0,-0.35795563993005186,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.813347697075003
1,-0.43506647405664656,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,-0.22545466344999224
1,0.567374369589085,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1.0557178498027588
0,1.8782585497411957,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.34803752481544026
0,0.0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,-0.8770972127627564
0,-0.049512303423672875,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,-0.5372700162302351
0,2.495145222753954,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.36887521812612184
0,0.027598530702921863,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,-0.12394241433985984
0,0.875817706095464,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.09875172535526437
1,-0.049512303423672875,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,-0.17689417903005084
